id,project_id,percentage,effective_date,created_at,updated_at
1,1,1.7,2000-01-01,2017-06-05 03:31:56.599781,2017-06-05 03:31:56.599781
2,2,0.8,2000-01-01,2017-06-05 03:31:56.606591,2017-06-05 03:31:56.606591
3,3,2.5,2000-01-01,2017-06-05 03:31:56.612167,2017-06-05 03:31:56.612167
4,4,1.0,2000-01-01,2017-06-05 03:31:56.617589,2017-06-05 03:31:56.617589
5,5,1.5,2000-01-01,2017-06-05 03:31:56.623195,2017-06-05 03:31:56.623195
6,6,0.8,2000-01-01,2017-06-05 03:31:56.629098,2017-06-05 03:31:56.629098
7,7,1.7,2000-01-01,2017-06-05 03:31:56.63454,2017-06-05 03:31:56.63454
8,8,1.5,2000-01-01,2017-06-05 03:31:56.639915,2017-06-05 03:31:56.639915
9,9,1.5,2000-01-01,2017-06-05 03:31:56.645291,2017-06-05 03:31:56.645291
10,11,1.7,2000-01-01,2017-06-05 03:31:56.650902,2017-06-05 03:31:56.650902
11,12,0.8,2000-01-01,2017-06-05 03:31:56.656775,2017-06-05 03:31:56.656775
12,13,0.8,2000-01-01,2017-06-05 03:31:56.662827,2017-06-05 03:31:56.662827
13,15,0.8,2000-01-01,2017-06-05 03:31:56.668718,2017-06-05 03:31:56.668718
14,16,0.6,2000-01-01,2017-06-05 03:31:56.673895,2017-06-05 03:31:56.673895
15,17,2.5,2000-01-01,2017-06-05 03:31:56.679158,2017-06-05 03:31:56.679158
16,18,1.0,2000-01-01,2017-06-05 03:31:56.686288,2017-06-05 03:31:56.686288
17,19,0.6,2000-01-01,2017-06-05 03:31:56.69168,2017-06-05 03:31:56.69168
18,10,1.0,2000-01-01,2017-06-05 03:31:56.699646,2017-06-05 03:31:56.699646
19,21,1.2,2000-01-01,2017-06-05 03:31:56.706648,2017-06-05 03:31:56.706648
20,14,1.0,2000-01-01,2017-06-05 03:31:56.71249,2017-06-05 03:31:56.71249
21,20,1.0,2000-01-01,2017-06-05 03:31:56.71791,2017-06-05 03:31:56.71791
22,22,4.0,2000-01-01,2017-06-05 03:31:56.72317,2017-06-05 03:31:56.72317
23,23,0.8,2000-01-01,2017-06-05 03:31:56.729649,2017-06-05 03:31:56.729649
24,24,0.5,2000-01-01,2017-06-05 03:31:56.735611,2017-06-05 03:31:56.735611
25,25,1.7,2017-06-01,2017-06-06 02:56:00.433228,2017-06-06 02:56:00.433228
26,26,2.5,2010-06-01,2017-06-18 18:43:56.566994,2017-06-18 18:43:56.566994
27,27,1.7,2017-02-01,2017-06-19 08:28:22.158801,2017-06-19 08:28:22.158801
28,28,1.2,2017-06-01,2017-06-28 07:53:28.862834,2017-06-28 08:01:37.922363
