id,percentage,nett_value,spa,comm,user_id,sale_id,created_at,updated_at
1,50.0,300492.0,353520.0,4801.86216,38,1,2017-07-05 07:47:40.658101,2017-07-05 07:47:40.774463
13,50.0,386027.5,454150.0,6168.71945,1,9,2017-07-05 07:47:41.384916,2017-07-06 02:25:53.287516
2,50.0,300492.0,353520.0,4801.86216,22,1,2017-07-05 07:47:40.663488,2017-07-05 07:47:40.779879
14,25.0,193013.75,227075.0,3084.359725,27,9,2017-07-05 07:47:41.389845,2017-07-06 02:25:53.293741
15,25.0,193013.75,227075.0,3084.359725,9,9,2017-07-05 07:47:41.393684,2017-07-06 02:25:53.300056
3,100.0,690228.0,831600.0,11029.84344,38,2,2017-07-05 07:47:40.784971,2017-07-05 07:47:40.830634
4,100.0,548394.6,656760.0,8763.345708,38,3,2017-07-05 07:47:40.836401,2017-07-05 07:47:40.876588
5,100.0,550064.6,658760.0,8790.032308,38,4,2017-07-05 07:47:40.881883,2017-07-05 07:47:40.920532
6,100.0,550064.6,658760.0,8790.032308,38,5,2017-07-05 07:47:40.924472,2017-07-05 07:47:40.96755
94,1.3,73.801,450.944,1.0405941,1,64,2017-07-06 14:55:13.946585,2017-07-06 14:55:13.946585
7,100.0,835116.9,1000140.0,13345.168062,38,6,2017-07-05 07:47:40.972281,2017-07-05 07:47:41.031893
8,65.0,399606.48,467376.0,6385.7115504,27,7,2017-07-05 07:47:41.037175,2017-07-05 07:47:41.274576
9,25.0,153694.8,179760.0,2456.042904,1,7,2017-07-05 07:47:41.041015,2017-07-05 07:47:41.280773
97,100.0,1236950.0,1903000.0,29068.325,32,66,2017-07-08 07:45:18.081788,2017-07-08 07:45:18.081788
10,10.0,61477.92,71904.0,982.4171616,76,7,2017-07-05 07:47:41.22342,2017-07-05 07:47:41.286984
98,100.0,739674.0,850163.0,11819.99052,32,67,2017-07-08 07:55:12.648622,2017-07-08 07:55:12.648622
16,100.0,1209557.6,1511947.0,17054.76216,32,10,2017-07-05 07:47:41.447524,2017-07-08 07:58:49.483972
11,75.0,650025.0,722250.0,15275.5875,27,8,2017-07-05 07:47:41.293412,2017-07-05 07:47:41.368516
12,25.0,216675.0,240750.0,5091.8625,11,8,2017-07-05 07:47:41.298552,2017-07-05 07:47:41.377475
17,100.0,863100.0,959000.0,20282.85,9,11,2017-07-05 07:47:41.49407,2017-07-05 07:47:41.529077
18,100.0,682720.0,803200.0,10909.8656,9,12,2017-07-05 07:47:41.53307,2017-07-05 07:47:41.568846
19,75.0,598931.25,704625.0,9570.921375,9,13,2017-07-05 07:47:41.573438,2017-07-05 07:47:41.606313
20,25.0,199643.75,234875.0,3190.307125,27,13,2017-07-05 07:47:41.576451,2017-07-05 07:47:41.60996
21,37.5,273997.5,322350.0,4378.48005,9,14,2017-07-05 07:47:41.613433,2017-07-05 07:47:41.645509
22,62.5,456662.5,537250.0,7297.46675,1,14,2017-07-05 07:47:41.61642,2017-07-05 07:47:41.649507
23,75.0,538836.0,649200.0,8610.59928,9,15,2017-07-05 07:47:41.653243,2017-07-05 07:47:41.858568
24,25.0,179612.0,216400.0,2870.19976,77,15,2017-07-05 07:47:41.826524,2017-07-05 07:47:41.862203
25,90.0,752678.73,880326.0,12027.8061054,11,16,2017-07-05 07:47:41.86578,2017-07-05 07:47:41.896824
26,10.0,83630.97,97814.0,1336.4229006,76,16,2017-07-05 07:47:41.86864,2017-07-05 07:47:41.901835
27,100.0,712810.0,838600.0,11390.7038,15,17,2017-07-05 07:47:41.905428,2017-07-05 07:47:41.935611
28,25.0,169840.0,193000.0,2394.744,39,18,2017-07-05 07:47:41.93935,2017-07-05 07:47:42.31292
29,37.5,254760.0,289500.0,3592.116,78,18,2017-07-05 07:47:42.103932,2017-07-05 07:47:42.316771
30,37.5,254760.0,289500.0,3592.116,79,18,2017-07-05 07:47:42.28003,2017-07-05 07:47:42.320645
31,25.0,169840.0,193000.0,2394.744,39,19,2017-07-05 07:47:42.324221,2017-07-05 07:47:42.361982
32,37.5,254760.0,289500.0,3592.116,78,19,2017-07-05 07:47:42.327171,2017-07-05 07:47:42.366068
33,37.5,254760.0,289500.0,3592.116,79,19,2017-07-05 07:47:42.33032,2017-07-05 07:47:42.371738
34,50.0,293709.6,343520.0,4693.479408,39,20,2017-07-05 07:47:42.375663,2017-07-05 07:47:42.411238
35,50.0,293709.6,343520.0,4693.479408,11,20,2017-07-05 07:47:42.379485,2017-07-05 07:47:42.41626
36,87.5,648429.6875,776562.5,10361.90640625,39,21,2017-07-05 07:47:42.42431,2017-07-05 07:47:42.464328
37,12.5,92632.8125,110937.5,1480.27234375,11,21,2017-07-05 07:47:42.427938,2017-07-05 07:47:42.468111
38,50.0,304824.6,356520.0,4871.097108,39,22,2017-07-05 07:47:42.471932,2017-07-05 07:47:42.508504
39,50.0,304824.6,356520.0,4871.097108,11,22,2017-07-05 07:47:42.475276,2017-07-05 07:47:42.512502
40,25.0,156826.2,180260.0,2506.082676,80,23,2017-07-05 07:47:42.692118,2017-07-05 07:47:42.910006
41,75.0,470478.6,540780.0,7518.248028,81,23,2017-07-05 07:47:42.861831,2017-07-05 07:47:42.915566
42,100.0,834275.0,981500.0,13331.7145,55,24,2017-07-05 07:47:42.921122,2017-07-05 07:47:42.963185
43,100.0,562100.8,610990.0,6340.497024,32,25,2017-07-05 07:47:42.969758,2017-07-05 07:47:43.019931
44,100.0,748583.1,936900.0,11962.357938,58,26,2017-07-05 07:47:43.025352,2017-07-05 07:47:43.063499
45,100.0,699890.0,823400.0,11184.2422,58,27,2017-07-05 07:47:43.067296,2017-07-05 07:47:43.10224
46,100.0,753525.0,886500.0,12041.3295,58,28,2017-07-05 07:47:43.106447,2017-07-05 07:47:43.141513
47,100.0,854080.0,1004800.0,13648.1984,58,29,2017-07-05 07:47:43.145682,2017-07-05 07:47:43.183958
48,100.0,765935.0,901100.0,12239.6413,58,30,2017-07-05 07:47:43.191598,2017-07-05 07:47:43.243583
49,100.0,1378800.0,1532000.0,32401.8,58,31,2017-07-05 07:47:43.249503,2017-07-05 07:47:43.313498
50,100.0,748425.0,880500.0,11959.8315,58,32,2017-07-05 07:47:43.319348,2017-07-05 07:47:43.367935
51,100.0,753525.0,886500.0,12041.3295,58,33,2017-07-05 07:47:43.374284,2017-07-05 07:47:43.415268
52,100.0,855525.0,1006500.0,13671.2895,58,34,2017-07-05 07:47:43.419189,2017-07-05 07:47:43.459155
53,100.0,842775.0,991500.0,13467.5445,58,35,2017-07-05 07:47:43.46292,2017-07-05 07:47:43.500811
54,100.0,839375.0,987500.0,13413.2125,58,36,2017-07-05 07:47:43.506884,2017-07-05 07:47:43.549685
55,100.0,811740.0,978000.0,12971.6052,58,37,2017-07-05 07:47:43.555039,2017-07-05 07:47:43.591388
56,100.0,861050.0,1013000.0,13759.579,58,38,2017-07-05 07:47:43.595025,2017-07-05 07:47:43.629682
57,100.0,1431000.0,1590000.0,33628.5,58,39,2017-07-05 07:47:43.633417,2017-07-05 07:47:43.664828
58,100.0,722925.0,850500.0,11552.3415,58,40,2017-07-05 07:47:43.669046,2017-07-05 07:47:43.703761
59,100.0,814980.0,958800.0,13023.3804,58,41,2017-07-05 07:47:43.707544,2017-07-05 07:47:43.736967
60,62.5,452359.375,532187.5,7228.7028125,2,42,2017-07-05 07:47:43.740707,2017-07-05 07:47:43.781794
79,10.0,53275.2,64576.0,851.337696,76,54,2017-07-05 07:47:44.29403,2017-07-06 02:33:08.871327
61,25.0,180943.75,212875.0,2891.481125,66,42,2017-07-05 07:47:43.74386,2017-07-05 07:47:43.785832
80,90.0,479476.8,581184.0,7662.039264,9,54,2017-07-05 07:47:44.300605,2017-07-06 02:33:08.878782
62,12.5,90471.875,106437.5,1445.7405625,1,42,2017-07-05 07:47:43.747126,2017-07-05 07:47:43.79
72,50.0,291357.78,334894.0,4655.8973244,23,48,2017-07-05 07:47:44.015146,2017-07-06 02:33:28.565326
73,50.0,291357.78,334894.0,4655.8973244,1,48,2017-07-05 07:47:44.019287,2017-07-06 02:33:28.581164
63,62.5,444828.125,535937.5,7108.3534375,2,43,2017-07-05 07:47:43.793913,2017-07-05 07:47:43.828677
64,25.0,177931.25,214375.0,2843.341375,66,43,2017-07-05 07:47:43.79718,2017-07-05 07:47:43.833774
65,12.5,88965.625,107187.5,1421.6706875,1,43,2017-07-05 07:47:43.800053,2017-07-05 07:47:43.838244
66,62.5,446955.0,538500.0,7142.3409,2,44,2017-07-05 07:47:43.842352,2017-07-05 07:47:43.877454
67,25.0,178782.0,215400.0,2856.93636,66,44,2017-07-05 07:47:43.845433,2017-07-05 07:47:43.881181
68,12.5,89391.0,107700.0,1428.46818,1,44,2017-07-05 07:47:43.84884,2017-07-05 07:47:43.885365
69,100.0,841925.0,990500.0,13453.9615,19,45,2017-07-05 07:47:43.889315,2017-07-05 07:47:43.924331
70,100.0,1334700.0,1483000.0,31365.45,19,46,2017-07-05 07:47:43.931499,2017-07-05 07:47:43.969249
71,100.0,1361205.0,1512450.0,21752.0559,67,47,2017-07-05 07:47:43.97309,2017-07-05 07:47:44.010249
74,100.0,745110.0,876600.0,11906.8578,24,49,2017-07-05 07:47:44.063142,2017-07-05 07:47:44.102437
75,100.0,712640.0,838400.0,11387.9872,24,50,2017-07-05 07:47:44.106514,2017-07-05 07:47:44.139798
76,100.0,682776.0,784800.0,10910.76048,24,51,2017-07-05 07:47:44.144844,2017-07-05 07:47:44.186958
77,100.0,774900.0,945000.0,12382.902,24,52,2017-07-05 07:47:44.192217,2017-07-05 07:47:44.237289
78,100.0,710940.0,836400.0,11360.8212,21,53,2017-07-05 07:47:44.243279,2017-07-05 07:47:44.287119
81,87.5,653979.375,769387.5,10450.5904125,25,55,2017-07-05 07:47:44.348148,2017-07-05 07:47:44.388107
82,12.5,93425.625,109912.5,1492.9414875,1,55,2017-07-05 07:47:44.351131,2017-07-05 07:47:44.39764
83,75.0,592683.75,697275.0,9471.086325,25,56,2017-07-05 07:47:44.403231,2017-07-05 07:47:44.450902
84,25.0,197561.25,232425.0,3157.028775,1,56,2017-07-05 07:47:44.407958,2017-07-05 07:47:44.455176
85,75.0,0.0,0.0,0.0,25,57,2017-07-05 07:47:44.459669,2017-07-05 07:47:44.660318
86,25.0,0.0,0.0,0.0,82,57,2017-07-05 07:47:44.616582,2017-07-05 07:47:44.665304
87,100.0,746385.0,878100.0,11927.2323,25,58,2017-07-05 07:47:44.669545,2017-07-05 07:47:44.716279
88,100.0,758115.0,891900.0,12114.6777,25,59,2017-07-05 07:47:44.725282,2017-07-05 07:47:44.769932
89,100.0,543384.0,650760.0,8683.27632,25,60,2017-07-05 07:47:44.774739,2017-07-05 07:47:44.809434
90,100.0,762195.0,896700.0,12179.8761,25,61,2017-07-05 07:47:44.814332,2017-07-05 07:47:44.854721
