id,name,comm_percentage,created_at,updated_at
1,Nidoz,1.7,2017-04-29 09:10:10.081344,2017-04-29 09:10:10.127604
2,I-santorini,0.8,2017-04-29 09:10:10.643224,2017-04-29 09:10:10.666002
3,Novum 2,2.5,2017-04-29 09:10:11.162769,2017-04-29 09:10:11.182166
4,Setia Sky,1.0,2017-04-29 09:10:11.541705,2017-04-29 09:10:11.563342
5,Uoa Business Park,1.5,2017-04-29 09:10:12.15907,2017-04-29 09:10:12.184306
6,Forest Ville,0.8,2017-04-29 09:10:12.289848,2017-04-29 09:10:12.315453
7,Ceylonz,1.7,2017-04-29 09:10:13.755704,2017-04-29 09:10:13.782335
8,Agile,1.5,2017-04-29 09:10:14.623965,2017-04-29 09:10:14.652145
9,Novus,1.5,2017-04-29 09:10:16.380275,2017-04-29 09:10:16.404982
11,Rainz,1.7,2017-04-29 09:10:24.968025,2017-04-29 09:10:25.016872
12,One Foresta,0.8,2017-04-29 09:10:29.401288,2017-04-29 09:10:29.42065
13,Summer Skye,0.8,2017-04-29 09:10:30.905571,2017-04-29 09:10:30.932401
15,Solaria,0.8,2017-04-29 09:10:50.336709,2017-04-29 09:10:50.360779
16,Queens Residence 2,0.6,2017-04-29 09:10:50.867705,2017-04-29 09:10:50.917209
17,Expressionz,2.5,2017-04-29 09:10:57.337053,2017-04-29 09:10:57.372018
18,Queens Residence,1.0,2017-04-29 09:10:59.212818,2017-04-29 09:10:59.243228
19,Woodsbury,0.6,2017-04-29 09:11:09.496727,2017-04-29 09:11:09.515209
10,Luminari,1.0,2017-04-29 09:10:23.231329,2017-04-29 09:11:15.686046
21,Desa Green,1.2,2017-04-29 09:11:17.411213,2017-04-29 09:11:17.446938
14,Utropolis Batu Kawan,1.0,2017-04-29 09:10:36.323845,2017-04-29 09:11:17.681752
20,Quinton,1.0,2017-04-29 09:11:17.034475,2017-04-29 09:11:25.548695
22,Verve Suites,4.0,2017-05-05 16:45:48.995169,2017-05-05 16:45:49.184869
23,Golden Triangle 2,0.8,2017-05-19 05:53:39.174348,2017-05-19 05:53:39.174348
24,Urban Suite,0.5,2017-05-20 08:22:20.3729,2017-05-20 08:22:20.3729
